,drug_name,drug_id,disease_name,disease_id
298,ibuprofen,CHEBI:5855,juvenile idiopathic arthritis,MONDO:0011429
299,etoposide,CHEBI:4911,testicular cancer,MONDO:0005447
300,aztreonam,CHEBI:94511,Pneumonia caused by Pseudomonas,UMLS:C0155860
301,prednisolone,CHEBI:8378,iritis,MONDO:0006814
302,bempedoic acid,CHEBI:149601,Familial hypercholesterolemia - heterozygous,UMLS:C0342882
303,fluocinolone acetonide,CHEBI:5108,discoid lupus erythematosus,MONDO:0019558
304,ergotamine,CHEBI:64318,Vascular Headaches,UMLS:C0042376
305,cefapirin,CHEBI:554446,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
306,norfloxacin,CHEBI:100246,endomyometritis,MONDO:0042451
307,carbenicillin,CHEBI:3393,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
308,metronidazole,CHEBI:6909,Brain abscess,HP:0030049
309,promazine,CHEBI:8459,schizophrenia,MONDO:0005090
310,domperidone,CHEBI:31515,Nausea and vomiting,HP:0002017
311,ciclopirox,CHEBI:453011,pityriasis versicolor,MONDO:0005915
312,lisinopril,CHEBI:43755,myocardial infarction,MONDO:0005068
313,hydroxocobalamin,PUBCHEM.COMPOUND:184933,vitamin deficiency disorder,MONDO:0024298
314,pseudoephedrine,CHEBI:51209,rhinitis,MONDO:0003014
315,amyl nitrite,CHEBI:2691,cyanide poisoning,MONDO:0018754
316,methylprednisolone,CHEBI:6888,trichinellosis,MONDO:0019444
317,pemetrexed,CHEBI:63616,malignant pleural mesothelioma,MONDO:0005112
318,fentanyl,CHEBI:119915,Pain,HP:0012531
319,norfloxacin,CHEBI:100246,bacterial urinary tract infection,MONDO:0005247
320,alclometasone dipropionate,CHEBI:31184,Chronic small plaque psoriasis,UMLS:C0406317
321,ampicillin,CHEBI:28971,Sepsis caused by Staphylococcus aureus,UMLS:C2887088
322,dexpanthenol,CHEBI:27373,Arthropod bite wound,UMLS:C1444173
323,phenobarbital,CHEBI:8069,Bilateral tonic-clonic seizure,HP:0002069
324,triamcinolone,CHEBI:9667,acquired thrombocytopenia,MONDO:0001198
325,amphotericin B,CHEBI:2682,lymphogranuloma venereum,MONDO:0005834
326,citric acid,CHEBI:30769,headache disorder,MONDO:0021146
327,sotagliflozin,CHEBI:229226,type 2 diabetes mellitus,MONDO:0005148
328,cortisol,CHEBI:5783,corneal ulcer,MONDO:0004577
329,dextropropoxyphene,CHEBI:51173,Pain,HP:0012531
330,nitric oxide,CHEBI:16480,persistent fetal circulation syndrome,MONDO:0022430
331,tolbutamide,CHEBI:27999,type 2 diabetes mellitus,MONDO:0005148
332,ampicillin,CHEBI:28971,Acute gonococcal urethritis,UMLS:C0275652
333,dexbrompheniramine,CHEBI:59269,atopic conjunctivitis,MONDO:0005642
334,zuranolone,CHEBI:228302,postpartum depression,MONDO:0005929
335,magnesium oxide,CHEBI:31794,Hypocalcemia,HP:0002901
336,entacapone,CHEBI:4798,Parkinson disease,MONDO:0005180
337,phenylephrine,CHEBI:8093,seasonal allergic rhinitis,MONDO:0005324
338,chlorpropamide,CHEBI:3650,type 2 diabetes mellitus,MONDO:0005148
339,loperamide,CHEBI:6532,Traveler's diarrhea,UMLS:C0277528
340,estrone,CHEBI:17263,acne,MONDO:0011438
341,doxycycline,PUBCHEM.COMPOUND:54671203,bacterial pneumonia,MONDO:0004652
342,prednisolone,CHEBI:8378,thyroiditis,MONDO:0004126
343,ceftriaxone,CHEBI:29007,Serratia Infections,UMLS:C0085394
344,cefotaxime,CHEBI:94427,Meningitis caused by Klebsiella aerogenes,UMLS:C1719906
345,dapsone,CHEBI:4325,leprosy,MONDO:0005124
346,methylprednisolone,CHEBI:6888,acute lymphoblastic leukemia,MONDO:0004967
347,promazine,CHEBI:8459,Nausea and vomiting,HP:0002017
348,drospirenone,CHEBI:50838,Dysmenorrhea,HP:0100607
349,clobazam,CHEBI:31413,Lennox-Gastaut syndrome,MONDO:0016532
350,sirolimus,CHEBI:9168,lymphangioma,MONDO:0002013
351,doxylamine,CHEBI:51380,allergic rhinitis,MONDO:0011786
352,niraparib,CHEBI:176844,castration-resistant prostate carcinoma,MONDO:0850353
353,chloramphenicol,CHEBI:3605,Rickettsiosis,MONDO:0006956
354,diphenylpyraline,CHEBI:59788,atopic conjunctivitis,MONDO:0005642
355,chlophedianol,CHEBI:135207,Cough,HP:0012735
356,daunorubicin,CHEBI:41977,acute erythroid leukemia,MONDO:0017858
357,regorafenib,CHEBI:68647,metastasis from malignant tumor of colon,MONDO:0041448
358,diphenylpyraline,CHEBI:59788,Pruritus,HP:0000989
359,isavuconazonium,CHEBI:85978,cryptococcosis,MONDO:0005724
360,clavulanic acid,CHEBI:48947,Klebsiella pneumonia,MONDO:0030602
361,ampicillin,CHEBI:28971,Bacterial sepsis,UMLS:C0684256
362,meloxicam,CHEBI:6741,osteoarthritis,MONDO:0005178
363,mepyramine,CHEBI:6762,Flu-Like Symptoms,NCIT:C78302
364,oxybutynin,CHEBI:144551,Neurogenic bladder,HP:0000011
365,sulfacetamide,CHEBI:63845,Infective blepharitis,UMLS:C0729587
366,fluoxymesterone,CHEBI:5120,Noonan syndrome,MONDO:0018997
367,ceftriaxone,CHEBI:29007,bacterial meningitis,MONDO:0006670
368,minocycline,CHEBI:50694,syphilis,MONDO:0005976
369,ranitidine,CHEBI:8776,duodenal ulcer,MONDO:0005412
370,amikacin,CHEBI:2637,Enterobacteriaceae Infections,UMLS:C0014347
371,fluorometholone,CHEBI:31625,rosacea,MONDO:0006604
372,bunolol,CHEBI:6438,ocular hypertension,MONDO:0006875
373,ceftibuten,CHEBI:3510,Acute otitis media,HP:0000371
