drug_name,drug_id,disease_name,disease_id
irbesartan,CHEBI:5959,diabetic kidney disease,MONDO:0005016
desoximetasone,CHEBI:691037,seborrheic dermatitis,MONDO:0006608
docetaxel,CHEBI:4672,gastric cancer,MONDO:0001056
lamotrigine,CHEBI:6367,Bipolar disorder in remission,UMLS:C0270425
betamethasone,CHEBI:3077,epicondylitis,MONDO:0001875
venetoclax,CHEBI:133021,acute myeloid leukemia,MONDO:0018874
ceftizoxime,CHEBI:553473,pneumonia,MONDO:0005249
ofloxacin,CHEBI:194135,Postoperative infection,UMLS:C0392618
ceftriaxone,CHEBI:29007,bacterial pneumonia,MONDO:0004652
minocycline,CHEBI:50694,Acute gonococcal urethritis,UMLS:C0275652
ACTH,CHEBI:3892,West syndrome,MONDO:0018097
mometasone,CHEBI:6970,seborrheic dermatitis,MONDO:0006608
prednisolone,CHEBI:8378,eosinophilic pneumonia,MONDO:0005749
trimethoprim,CHEBI:45924,Acute otitis media,HP:0000371
betamethasone,CHEBI:3077,non-Hodgkin lymphoma,MONDO:0018908
bortezomib,CHEBI:52717,AL amyloidosis,MONDO:0019438
trospium,UNII:T4Y8ORK057,overactive bladder,MONDO:0006624
alacepril,CHEBI:31182,essential hypertension,MONDO:0001134
clemastine,CHEBI:3738,allergic rhinitis,MONDO:0011786
miconazole,CHEBI:6923,dermatophytosis of groin and perianal area,MONDO:0001405
cortisol,CHEBI:5783,Pruritus Ani,UMLS:C0033775
ampicillin,CHEBI:28971,Acute otitis media,HP:0000371
amyl nitrite,CHEBI:2691,cyanide poisoning,MONDO:0018754
algeldrate,PUBCHEM.COMPOUND:10176082,dyspepsia,MONDO:0002268
lenvatinib,CHEBI:85994,thyroid gland oncocytic follicular carcinoma,MONDO:0006465
drospirenone,CHEBI:50838,postmenopausal atrophic vaginitis,MONDO:0001410
lomefloxacin,CHEBI:116278,bacterial urinary tract infection,MONDO:0005247
guanethidine,CHEBI:5557,hypertensive disorder,MONDO:0005044
captopril,CHEBI:3380,Left ventricular cardiac dysfunction,UMLS:C1997351
clopidogrel,CHEBI:37941,atrial fibrillation,MONDO:0004981
prednisolone,CHEBI:8378,rosacea,MONDO:0006604
amphotericin B,CHEBI:2682,bronchitis,MONDO:0003781
allantoin,CHEBI:15676,pityriasis simplex,MONDO:0024343
ceftriaxone,CHEBI:29007,Proteus urinary tract infection,UMLS:C0577709
mometasone,CHEBI:6970,discoid lupus erythematosus,MONDO:0019558
methylprednisolone,CHEBI:6888,Transplanted organ rejection,UMLS:C0345468
desonide,CHEBI:204734,Pruritus Ani,UMLS:C0033775
loracarbef,CHEBI:47544,bacterial urinary tract infection,MONDO:0005247
triamcinolone,CHEBI:9667,juvenile idiopathic arthritis,MONDO:0011429
methylprednisolone,CHEBI:6888,Lichen Simplex Chronicus,UMLS:C0149922
sodium nitrite,PUBCHEM.COMPOUND:23668193,cyanide poisoning,MONDO:0018754
ziconotide,CHEBI:142406,Pain in spine,UMLS:C0423673
magnesium sulfate,PUBCHEM.COMPOUND:24083,Incomplete passage of stool,UMLS:C0426639
cyproheptadine,CHEBI:4046,familial dermatographia,MONDO:0007448
felbinac,CHEBI:31597,osteoarthritis,MONDO:0005178
albendazole,CHEBI:16664,Neurocysticercosis,UMLS:C0338437
sotagliflozin,CHEBI:229226,congestive heart failure,MONDO:0005009
gatifloxacin,CHEBI:5280,Gonorrhea of rectum,UMLS:C0275665
ertapenem,CHEBI:404903,Abdominal Infection,UMLS:C1112209
fluticasone,CHEBI:5134,pulmonary emphysema,MONDO:0004849
azelastine,CHEBI:2950,allergic rhinitis,MONDO:0011786
mosapramine,CHEBI:135775,schizophrenia,MONDO:0005090
